edad_cliente,tiempo_como_cliente_meses,ingresos_mensuales,visitas_mensuales_sitio_web,contactos,nivel_educativo,uso_tarjeta_credito,participa_en_promociones,calificacion_satisfaccion,descuento_promedio_usado,ventas_cliente
50,62,3450,6,0,4,0,1,4,0.26,371.17
49,7,2580,4,3,4,1,1,3,0.21,329.62
42,92,3090,6,1,4,0,1,3,0.29,589.01
30,119,3000,12,1,2,1,1,4,0.21,476.49
40,108,2840,4,1,1,1,0,5,0,460.06
32,108,4010,4,2,3,1,1,5,0.26,431.11
18,8,3240,7,2,2,1,1,4,0.05,281.05
29,38,2150,11,2,2,0,1,2,0.01,246.33
42,8,2250,6,0,4,1,0,4,0,145.87
27,8,3600,1,2,3,1,1,4,0.21,369.23
58,62,3020,4,3,2,0,1,2,0.13,375.05
60,92,2570,5,1,4,1,1,4,0.23,480.52
44,1,2480,7,0,1,1,0,3,0,293.95
64,74,3050,5,3,2,1,1,3,0.27,568.01
22,8,3410,8,0,3,1,1,5,0.05,334.61
33,2,3910,3,0,1,0,1,3,0.24,241.82
65,72,3030,9,1,4,0,1,2,0.04,529.76
50,97,3450,6,2,2,1,1,5,0.19,455.96
50,82,3370,4,1,4,0,1,4,0.13,429.99
37,81,2370,9,2,2,0,1,5,0.2,459.21
38,78,3490,3,0,4,1,1,5,0.14,373.3
30,28,2380,7,3,3,0,1,4,0.23,369.83
53,114,2800,2,1,3,0,1,4,0.23,599.71
29,4,3810,5,0,1,0,1,5,0.02,465.95
43,18,3150,3,2,1,0,1,4,0.29,352.48
49,94,2940,3,0,4,1,0,4,0,552.49
23,42,2110,3,1,4,0,0,2,0,368.49
42,47,4380,3,4,2,0,1,5,0.22,525.5
57,60,2760,5,4,3,0,1,4,0.2,460.02
36,76,3620,6,1,2,0,1,2,0.11,592.51
46,25,3800,7,1,3,0,1,4,0.29,619.6
58,19,950,4,4,3,0,1,4,0.12,215.61
29,75,3670,4,2,1,0,1,5,0.25,382.74
35,30,3980,5,1,4,1,1,1,0.06,311.15
58,105,3840,3,3,2,0,1,2,0.05,538.26
56,86,2470,2,2,2,1,1,4,0.17,308.66
33,81,1890,4,2,1,1,1,5,0.24,579.87
35,18,4440,4,2,2,1,1,1,0.12,438.11
23,56,3130,4,2,2,1,0,3,0,168.44
36,40,2570,9,2,2,1,1,1,0.16,396.58
41,7,2530,5,3,2,1,1,4,0.17,480.78
67,94,2640,8,1,2,0,1,4,0.09,617.46
37,59,1990,8,3,1,1,1,3,0.1,317.13
25,54,4230,2,1,2,1,1,1,0.16,473.21
54,12,3100,4,0,3,1,1,3,0.14,601.56
59,111,2440,4,3,2,0,1,5,0.23,428.94
39,12,3640,6,0,4,1,1,5,0.19,365.04
67,22,3220,6,3,1,0,1,3,0.16,368.69
60,38,3690,7,3,1,0,1,4,0.29,573.17
28,94,2210,3,2,2,0,1,2,0.23,486.87
43,54,1620,4,2,1,1,1,2,0.29,578.03
57,115,3420,3,2,3,1,1,5,0.13,618.43
45,35,2110,2,1,2,0,0,4,0,271.71
35,12,3140,5,3,2,0,1,1,0.24,331.66
22,24,2760,8,1,4,1,0,2,0,0.15
27,103,3980,1,1,2,1,1,5,0.23,560.82
69,31,2150,7,0,3,0,1,5,0.23,381.76
60,73,3220,4,1,3,0,1,5,0.21,499.14
18,23,3600,4,1,3,1,1,1,0.05,223.82
29,56,2400,4,3,4,0,1,5,0.19,361.43
56,55,1500,5,1,3,0,1,3,0.09,336.22
45,31,1330,8,2,4,0,1,4,0.27,481.52
54,87,2830,4,1,2,1,0,4,0,402.39
47,23,4060,7,2,2,1,1,1,0.13,538.06
53,6,3440,6,1,2,1,1,4,0.02,278.97
55,48,1390,3,4,4,1,1,3,0.26,454.46
25,49,2980,6,3,1,0,1,5,0.06,431.16
30,83,2780,6,2,2,1,1,4,0.25,459.84
64,74,2420,6,1,4,1,1,1,0.14,598.43
65,47,1980,6,0,3,1,1,4,0.23,433.86
56,39,2720,6,2,4,0,1,2,0.14,337.2
25,78,2540,6,0,4,1,1,3,0.05,444.93
51,90,2870,5,1,1,1,1,4,0.02,707.58
65,108,2640,5,6,4,0,1,4,0.07,515.57
22,33,4580,2,2,1,1,0,3,0,353.9
38,9,4070,4,2,3,1,1,3,0,327.25
62,92,1810,3,1,2,0,1,2,0.28,502.44
31,11,3070,2,2,3,1,1,3,0.02,359.57
32,73,2820,8,3,1,1,0,4,0,400.9
63,44,3720,5,6,3,0,0,4,0,394.59
45,96,2780,6,3,4,1,1,4,0.04,512.42
19,95,4230,6,5,1,1,1,4,0.24,638.91
51,24,3420,1,2,3,1,1,4,0.18,443.33
25,77,2470,6,5,2,1,0,2,0,343.96
66,23,2460,3,4,1,0,1,1,0.18,536.77
59,33,4720,6,4,2,1,1,4,0.29,666.81
23,76,2880,6,1,4,0,1,3,0.16,381
39,41,3100,8,1,3,1,1,4,0.07,377.45
20,103,2470,3,2,4,0,1,4,0.07,554.33
60,109,3730,7,4,3,1,1,4,0.12,711.92
65,12,2330,4,2,1,0,1,4,0.05,505.2
56,52,3530,2,1,2,0,1,2,0.1,515.77
27,95,1100,6,2,1,1,1,5,0.28,523.04
51,112,3380,5,0,4,1,1,4,0.11,621.51
62,99,3360,8,1,1,0,0,5,0,580.57
54,38,3130,6,1,4,0,1,4,0.24,587.5
67,116,3570,3,0,3,1,1,5,0.29,700.93
23,104,3000,3,2,4,1,1,2,0.22,629.05
36,25,2710,2,2,4,0,1,2,0.08,451.44
37,118,3070,5,1,3,1,1,3,0.13,603.15
24,20,2680,8,2,2,1,1,4,0.01,233.32
69,116,2030,2,3,3,1,1,2,0.12,484.07
23,77,3840,5,1,3,0,1,2,0.2,498.13
68,13,2800,6,2,2,1,1,4,0.2,533.36
44,91,2980,9,2,1,0,1,4,0.19,645.05
61,65,2170,5,0,4,1,1,2,0.01,352.69
69,116,2900,7,3,1,0,1,4,0.15,568.66
24,78,3490,4,3,1,1,1,5,0.29,472.09
