Age,Department,Salary,YearsAtCompany,WorkLifeBalance,JobInvolvement,PerformanceRating,TrainingTimesLastYear,Satisfaction
50,Finance,4865,18,3,5,2,3,0
36,HR,4764,14,4,1,3,0,1
29,Finance,4773,3,1,2,4,2,0
42,Finance,2844,11,5,4,4,4,1
40,Marketing,3763,5,4,1,2,2,0
44,IT,3603,18,2,3,4,2,1
32,HR,4425,3,2,1,5,2,0
32,Marketing,4335,14,2,4,5,1,1
45,IT,4155,8,4,5,2,2,1
57,IT,6465,4,4,5,5,2,1
45,Sales,3709,12,4,4,3,1,1
24,HR,3592,17,1,2,2,1,0
43,IT,2843,4,1,2,2,4,0
23,Marketing,2462,15,2,5,3,3,0
45,Sales,2779,18,3,5,5,0,0
51,HR,3281,13,2,4,5,0,0
59,Finance,5310,15,5,2,5,2,1
23,Marketing,4039,14,1,5,2,4,0
42,IT,4193,3,4,2,2,2,0
54,IT,3903,6,1,5,5,0,1
33,Marketing,4365,15,4,1,4,1,1
43,IT,5402,7,5,3,5,3,1
46,Sales,2006,16,5,1,3,4,0
48,HR,5218,15,1,5,2,1,0
49,Sales,1484,9,4,3,3,3,0
37,IT,4028,9,5,3,3,4,1
36,Finance,6191,1,2,5,2,4,0
24,HR,4680,8,2,5,4,0,1
58,HR,4373,16,4,2,5,1,1
28,Marketing,6001,10,1,5,3,4,0
42,Marketing,3296,9,5,4,2,4,0
30,Finance,4433,16,1,5,3,3,0
39,HR,4578,3,2,4,5,0,0
25,Finance,3477,15,5,5,4,2,1
46,Marketing,3565,19,1,2,4,0,1
35,Marketing,3456,14,3,4,4,2,0
30,HR,4087,4,4,1,2,1,0
47,Sales,4546,5,4,4,2,1,0
23,IT,4123,16,3,2,4,4,1
41,Marketing,4709,0,2,4,5,1,0
49,Marketing,2030,18,5,5,5,4,1
28,Sales,3781,3,4,5,2,0,0
29,Sales,2976,16,3,2,4,1,0
56,Finance,4301,8,3,3,5,0,1
35,Finance,4286,1,2,5,5,0,0
38,IT,3884,7,2,1,5,1,1
57,IT,4510,14,1,2,2,0,0
25,HR,4997,6,4,4,4,1,1
23,Finance,3939,5,1,4,3,1,0
27,Marketing,2948,0,3,1,4,1,0
25,Finance,2418,14,5,5,4,2,1
50,Marketing,4036,6,5,2,2,0,1
39,Sales,4241,16,2,1,5,3,1
47,Finance,3030,1,5,5,5,1,0
55,Sales,4725,8,5,2,2,0,1
31,IT,3541,8,5,4,2,4,1
57,IT,2343,12,3,2,2,1,0
35,HR,5256,5,5,3,2,1,0
52,Finance,5143,5,5,2,2,3,0
36,Sales,1984,19,5,3,3,2,0
29,Marketing,3437,19,1,2,4,2,0
35,IT,3398,2,3,3,4,1,0
44,IT,5639,16,2,4,4,0,1
42,Marketing,3900,16,1,5,5,4,1
37,Sales,2504,11,4,3,3,4,0
39,Sales,4882,15,3,3,4,0,1
45,Finance,2769,14,3,4,5,1,0
47,Finance,3739,12,4,3,3,4,1
46,HR,3230,0,4,1,3,2,0
50,IT,3439,16,4,4,5,0,1
36,Finance,4937,2,2,1,3,3,0
22,Sales,5521,14,5,4,5,1,1
46,Marketing,2725,3,3,3,4,0,0
28,Sales,4626,3,5,1,5,4,1
30,IT,3267,17,5,3,3,1,0
45,Sales,3298,16,4,4,4,2,1
22,HR,4490,18,2,3,4,1,1
29,IT,2972,10,1,1,2,1,0
45,Marketing,4470,19,2,1,2,2,0
32,HR,4730,2,5,3,3,2,0
38,IT,3567,7,2,2,5,1,1
29,Marketing,5327,13,4,4,5,2,1
56,HR,2727,0,1,4,3,0,0
56,HR,5345,13,4,3,4,2,1
54,IT,2056,1,1,2,3,2,0
26,Finance,6699,3,5,1,3,1,0
49,HR,3593,18,1,5,4,0,1
28,HR,2837,5,1,5,5,3,0
30,Marketing,3767,0,1,3,3,3,0
29,Sales,2953,16,2,2,5,4,0
33,IT,4386,7,2,2,3,2,0
55,IT,5367,18,5,4,4,2,1
54,Finance,3006,0,1,1,4,0,0
44,Finance,4579,4,3,2,2,3,0
45,IT,2467,15,5,5,4,4,1
58,Finance,5032,5,1,1,2,0,0
56,Marketing,4416,7,1,1,3,2,0
43,IT,5076,12,2,3,5,3,1
48,Finance,3877,15,5,2,4,4,1
56,IT,3564,2,1,3,4,1,0
22,Sales,4816,18,1,2,4,3,1
56,HR,2691,11,5,4,3,4,0
58,IT,2257,15,3,3,2,0,0
35,HR,3995,10,5,3,3,1,1
24,Finance,3610,9,5,5,5,4,1
22,HR,4553,19,3,3,3,4,0
26,IT,5091,3,5,2,5,2,1
47,Sales,4533,11,1,5,4,3,1
35,Finance,5011,1,5,3,5,2,1
48,IT,4321,18,3,3,5,1,1
30,Finance,4494,4,4,4,2,4,0
36,Marketing,3883,7,5,3,5,2,1
36,HR,4465,6,2,1,5,3,1
47,Marketing,4166,13,1,5,3,1,0
34,IT,4325,2,1,1,4,0,0
53,Sales,3833,17,2,5,3,2,0
53,Finance,4808,15,2,4,3,1,0
25,HR,3289,18,5,3,4,0,1
51,Finance,3981,18,2,3,4,2,1
58,IT,5311,17,4,3,5,1,1
44,Finance,3051,19,3,5,5,1,0
36,HR,1838,15,2,3,2,2,0
50,IT,4366,7,2,1,3,1,0
57,Finance,3743,0,4,3,4,4,1
34,Sales,5010,16,1,4,5,2,1
53,IT,3869,11,1,1,4,1,1
28,IT,3395,10,5,3,5,0,1
43,Sales,3924,4,4,3,2,0,0
49,Marketing,5093,11,3,2,2,4,0
23,HR,4575,16,3,5,4,2,1
27,Marketing,1566,5,4,1,2,1,0
49,Finance,4185,0,3,2,4,1,0
49,Sales,4235,4,1,4,5,0,0
41,Marketing,3981,13,3,5,3,4,0
51,IT,3389,4,3,1,2,0,0
32,Finance,5194,0,4,3,5,0,1
49,Finance,5244,17,4,1,3,4,1
46,Marketing,1796,15,3,3,3,2,0
54,Marketing,3202,8,2,5,3,1,0
22,Sales,3855,18,4,3,5,2,1
48,HR,4948,4,5,4,5,3,1
34,Marketing,4034,1,5,3,4,3,1
24,Marketing,3316,14,1,4,3,3,0
27,IT,4709,6,3,5,3,4,0
29,Finance,3788,3,2,5,3,0,0
48,HR,3882,0,1,1,4,2,0
30,IT,3972,12,3,4,3,1,0
58,Sales,4574,19,4,4,5,3,1
54,Sales,3691,6,5,2,3,2,1
45,Marketing,4686,14,2,2,2,3,0
36,Marketing,3926,13,5,2,5,3,1
53,Sales,2932,18,4,3,4,1,1
53,Marketing,3963,19,3,2,3,4,0
45,HR,2984,17,4,4,2,0,0
33,Marketing,4040,9,4,3,4,4,1
23,Finance,4829,8,5,5,4,2,1
24,Marketing,2926,7,2,1,5,4,0
58,IT,4364,9,4,2,4,2,1
38,HR,3170,16,5,5,4,2,1
23,IT,4201,1,2,4,4,0,0
23,IT,4860,5,3,1,4,1,0
49,Finance,1870,4,3,5,3,0,0
44,HR,2885,8,1,1,3,4,0
58,HR,3631,4,5,2,3,2,0
53,HR,4315,17,2,4,3,3,0
54,HR,3833,19,4,1,2,3,1
22,HR,3954,8,3,5,3,2,0
40,Finance,6042,16,2,2,4,0,1
23,Marketing,2787,16,5,2,3,1,0
47,IT,5135,11,1,5,3,0,0
53,HR,3650,6,3,5,5,2,1
27,Marketing,4549,2,2,1,4,2,0
53,Marketing,6128,9,2,3,3,1,0
25,IT,4688,1,2,2,3,4,0
32,Finance,4372,2,5,1,3,4,0
38,Sales,5599,15,5,5,2,1,1
59,Sales,5124,1,5,1,3,4,0
45,Marketing,3200,9,4,5,5,3,1
26,IT,4294,5,2,4,4,4,0
55,Sales,2282,10,3,5,4,4,0
27,Marketing,3459,6,5,5,3,4,0
43,Finance,4314,14,5,5,3,3,1
32,Sales,3397,5,2,3,3,4,0
37,Marketing,4273,19,5,5,4,3,1
54,Marketing,3986,8,4,2,4,1,1
30,HR,4536,19,4,2,2,0,1
27,Finance,3575,11,5,1,5,1,1
37,HR,3059,18,2,3,2,0,0
50,IT,5478,19,2,1,5,1,1
24,HR,3504,2,2,2,2,0,0
41,HR,4660,14,1,2,4,0,1
57,Sales,5435,1,5,4,2,2,0
40,Marketing,4162,1,2,5,5,0,0
47,Finance,3143,2,4,2,3,0,0
24,HR,3821,5,3,1,5,2,0
40,Finance,5017,14,3,1,3,4,0
41,HR,4206,9,2,5,4,4,1
53,IT,2794,8,3,5,5,2,0
28,HR,4596,0,3,4,2,3,0
54,Sales,4769,15,1,3,5,0,1
39,Marketing,3644,5,4,1,3,0,0
22,IT,4610,8,4,5,4,2,1
32,HR,4245,3,1,1,2,2,0
49,Finance,3802,1,1,5,5,3,0
46,IT,2706,3,3,2,3,4,0
44,IT,5077,0,5,1,2,1,0
52,HR,4759,18,3,2,4,4,1
51,IT,4583,9,1,1,2,0,0
56,Finance,5544,14,4,3,4,2,1
28,IT,4945,18,3,4,2,3,0
37,Finance,4686,15,5,2,5,4,1
47,HR,1786,3,3,5,3,3,0
23,Marketing,5196,1,2,3,5,4,0
22,IT,4083,12,3,1,5,0,1
33,Marketing,4312,0,1,2,4,1,0
26,Finance,4319,16,4,1,4,3,1
58,IT,4773,12,4,1,4,3,1
53,Sales,5122,3,1,1,5,1,0
30,Marketing,4634,6,2,4,2,3,0
56,IT,4475,16,1,4,2,3,0
40,Marketing,4231,8,3,5,5,4,1
37,IT,648,3,1,2,5,4,0
24,HR,3712,18,1,3,3,1,0
41,Marketing,3058,0,2,3,4,0,0
45,Sales,5210,9,3,3,4,3,1
54,Sales,4619,3,5,1,5,0,1
45,Finance,3541,8,5,4,5,1,1
32,IT,3642,12,4,2,2,1,1
29,Marketing,3606,13,1,1,5,4,1
57,Finance,3588,9,4,4,2,3,1
59,Marketing,2555,5,2,4,5,2,0
41,IT,2338,15,5,2,3,1,0
56,Sales,4029,5,1,2,3,3,0
46,HR,5075,16,2,2,2,0,0
56,Sales,3462,9,2,1,4,4,0
46,Finance,4303,17,1,5,3,0,0
50,HR,4734,17,2,2,2,1,0
39,Finance,3006,2,1,5,5,1,0
39,IT,3980,19,1,1,5,0,1
23,HR,3333,14,3,5,2,1,0
56,Finance,5606,14,4,3,4,3,1
37,IT,5562,3,2,5,2,1,0
57,Sales,3007,8,2,2,2,4,0
54,IT,4385,18,3,1,3,3,0
25,Marketing,5067,16,3,2,2,2,0
54,IT,4848,10,3,3,2,1,0
35,IT,4081,8,5,2,5,1,1
42,Marketing,5306,9,5,2,3,4,1
41,Finance,3095,17,5,2,5,4,1
29,Finance,3696,19,1,4,5,0,1
28,IT,3122,12,2,3,4,0,0
24,Marketing,4782,7,4,2,4,0,1
38,Marketing,3417,6,1,2,3,4,0
54,Sales,3828,16,2,2,3,0,0
33,Finance,4617,14,2,1,4,0,1
43,HR,4698,19,3,4,4,2,1
43,Finance,3092,14,3,1,4,0,0
51,Finance,5056,0,1,4,4,1,0
59,Sales,4455,13,3,2,4,4,1
59,HR,2918,4,2,3,5,3,0
29,Sales,2672,10,3,5,3,2,0
48,HR,3984,15,5,5,5,4,1
48,IT,4850,1,3,2,5,4,0
55,HR,4875,7,2,1,2,1,0
42,Sales,4356,10,1,3,5,0,1
51,Finance,4048,17,4,4,4,1,1
54,HR,4511,2,3,2,4,0,0
49,HR,3144,0,2,3,2,0,0
54,Marketing,5686,10,4,3,2,4,1
26,Finance,5673,15,4,4,2,0,1
40,IT,4428,17,5,3,2,2,1
25,Sales,4197,15,4,1,2,2,1
56,IT,3588,9,2,1,5,2,1
38,Finance,4528,17,2,1,2,4,0
49,HR,3308,5,3,3,5,1,0
51,HR,1776,18,3,1,3,3,0
50,Finance,1285,3,3,4,2,0,0
27,HR,3200,12,4,3,2,3,0
56,HR,4156,13,4,5,5,1,1
58,HR,4331,2,5,3,3,1,0
45,Sales,3513,9,3,4,5,4,1
50,Sales,4141,5,1,5,5,2,0
52,Marketing,3725,0,5,3,2,2,0
56,IT,3000,13,1,1,4,1,0
54,Finance,3946,7,4,2,4,4,1
42,Finance,4812,18,5,2,5,4,1
53,Finance,3045,13,5,1,2,0,0
44,Marketing,3046,9,2,2,3,2,0
54,Sales,2930,16,4,2,4,1,1
24,Marketing,2063,8,4,1,3,3,0
39,Finance,3519,5,5,1,4,2,1
46,IT,4714,10,4,3,2,0,1
52,HR,4173,6,5,3,5,4,1
24,Sales,3830,16,2,1,3,1,0
45,Sales,4129,0,5,4,3,2,0
53,Marketing,3511,4,4,2,5,3,1
43,Sales,2052,8,4,3,3,0,0
44,Finance,4783,17,5,2,4,0,1
23,Finance,5071,1,5,5,5,2,1
48,Marketing,3271,10,5,1,4,3,1
23,Finance,3849,5,3,4,4,0,0
47,IT,3763,7,4,5,2,1,1
38,Marketing,4351,3,4,5,4,0,1
54,IT,5689,17,3,5,2,3,0
30,HR,5159,10,5,1,3,4,1
50,IT,3623,4,2,3,3,4,0
47,HR,4542,14,5,1,2,2,1
56,HR,5254,17,5,3,4,3,1
46,IT,4408,1,3,5,5,0,0
45,Marketing,3995,10,4,5,5,0,1
34,Finance,4446,12,5,4,2,4,1
28,Finance,3296,3,4,3,3,4,0
57,HR,3442,6,1,5,3,1,0
41,HR,2935,10,4,2,5,4,1
22,Marketing,4307,3,2,4,2,1,0
29,Sales,3868,14,2,1,5,0,1
37,IT,3176,0,5,4,4,1,0
35,HR,3835,2,4,2,4,1,1
33,Finance,4469,13,5,3,2,2,1
44,Marketing,5914,5,3,1,2,4,0
36,IT,5012,17,2,1,4,1,1
49,Marketing,1715,0,5,3,3,0,0
55,IT,4239,5,3,4,2,3,0
23,IT,5429,5,5,5,4,1,1
53,HR,2662,15,4,4,4,4,1
44,Marketing,4551,4,4,2,3,2,0
43,Marketing,3763,16,4,5,3,0,1
46,Finance,5150,9,4,4,3,2,1
43,Finance,4404,17,1,3,3,3,0
43,HR,3115,6,3,2,5,1,0
27,HR,3799,2,3,2,3,1,0
36,Sales,3858,12,4,2,5,4,1
58,Finance,3876,14,1,5,2,1,0
54,IT,5119,19,4,1,4,0,1
29,Marketing,3157,18,1,5,5,3,0
26,HR,5003,2,4,4,2,2,0
25,Marketing,3697,3,2,1,2,3,0
27,Marketing,4223,4,2,4,5,1,0
53,Sales,4072,0,5,1,2,2,0
51,Finance,3978,3,4,5,2,4,0
56,HR,3986,11,3,2,5,3,1
37,Marketing,5457,9,5,3,2,2,1
34,HR,4842,19,2,2,3,2,0
51,IT,3637,12,4,5,3,2,1
40,Sales,5582,13,5,1,4,0,1
38,IT,4274,4,4,2,2,3,0
40,HR,4357,3,2,5,4,2,0
49,HR,3162,13,5,4,3,3,0
47,Finance,3502,9,2,3,3,2,0
58,Marketing,3311,16,1,2,3,4,0
47,Marketing,4086,9,2,1,2,4,0
44,IT,4638,6,4,4,2,4,1
30,Sales,4367,15,3,5,3,1,0
33,Marketing,5588,0,2,3,4,2,0
22,Finance,3112,16,3,1,4,1,0
22,IT,4114,8,1,5,5,3,1
55,IT,2717,5,5,5,3,1,0
53,Finance,3078,18,5,2,4,3,1
46,Sales,5264,12,3,2,3,3,0
22,Finance,3536,2,5,1,4,3,1
37,Sales,3196,6,2,5,5,1,0
26,Finance,1870,8,3,2,5,2,0
43,Finance,3186,4,4,3,3,1,0
50,HR,3794,9,2,3,4,2,1
24,IT,2642,16,2,5,2,2,0
33,Finance,3737,11,2,2,5,3,1
47,Finance,5270,15,4,1,3,1,1
37,Marketing,3292,2,1,1,3,2,0
58,IT,3056,8,5,1,4,4,1
43,Marketing,2876,14,3,3,3,2,0
50,IT,2858,4,1,2,5,4,0
35,Marketing,4535,12,3,2,3,1,0
49,Finance,4048,13,5,3,3,1,1
26,Finance,4956,19,4,1,2,1,1
51,HR,6019,14,2,1,2,2,0
26,Marketing,2169,15,2,5,5,0,0
33,Sales,4380,12,4,4,4,2,1
37,HR,2881,16,1,2,2,2,0
47,Marketing,4788,7,1,2,4,3,1
47,Marketing,3728,1,3,2,5,3,0
42,HR,4027,4,4,4,2,2,0
57,Finance,2716,5,1,5,4,4,0
54,Marketing,3573,11,4,4,2,3,1
51,Finance,4089,17,5,1,5,2,1
58,HR,5356,0,2,1,5,0,0
44,Finance,3205,16,2,2,2,4,0
31,IT,3449,10,2,3,4,1,0
26,Sales,4944,9,4,2,3,2,1
57,Marketing,3140,18,4,3,3,2,0
55,Sales,5142,13,3,4,2,4,0
52,Finance,3990,9,2,1,4,3,1
31,Marketing,4303,14,3,3,3,3,0
40,Finance,4367,18,2,4,5,3,1
53,IT,3383,3,3,1,4,1,0
22,HR,4389,1,3,3,3,4,0
26,Marketing,3227,8,5,2,4,4,1
25,IT,3497,9,3,2,2,3,0
37,IT,4558,10,4,2,4,3,1
45,Marketing,4293,13,3,4,3,0,0
37,Finance,3925,6,2,2,2,0,0
23,IT,2741,14,3,5,4,2,0
49,Sales,2990,18,1,1,5,2,0
53,IT,4276,14,2,4,3,4,0
48,Finance,4732,7,1,2,2,4,0
41,Finance,2890,10,2,1,4,1,0
45,Sales,3160,8,4,3,5,1,1
33,IT,4134,14,4,2,3,0,1
56,Finance,4112,0,4,1,5,2,1
54,Marketing,2376,0,1,5,4,0,0
54,HR,4161,18,5,3,4,0,1
58,HR,3401,2,2,5,2,2,0
33,HR,5641,9,4,1,5,1,1
24,IT,4249,7,2,5,2,2,0
22,Sales,4421,14,1,1,3,3,0
54,Finance,4447,9,5,1,2,3,1
31,Marketing,2786,0,1,5,3,3,0
50,Marketing,5943,17,2,1,4,4,1
34,IT,2377,1,5,2,4,1,0
33,HR,4795,18,5,1,5,1,1
52,IT,4618,12,1,4,3,4,0
23,Sales,3522,0,4,1,4,0,1
56,Sales,4666,1,2,4,5,3,0
44,Finance,3682,15,3,1,5,3,1
38,Finance,3324,14,3,1,2,0,0
47,Sales,4469,12,1,5,5,2,1
29,Sales,2993,15,2,2,4,2,0
50,Sales,3775,16,2,2,2,1,0
47,IT,3405,6,1,3,3,4,0
31,Sales,3664,16,2,5,3,1,0
47,Marketing,4432,6,4,5,4,2,1
55,HR,3405,12,1,2,4,0,0
28,Sales,3807,4,4,5,2,1,0
25,HR,3496,16,2,2,2,3,0
32,IT,5443,2,1,5,4,3,0
50,HR,4342,6,2,1,4,0,1
57,IT,4220,16,1,2,3,2,0
46,Marketing,4683,6,2,2,3,3,0
42,IT,3405,0,4,4,3,3,0
57,IT,4859,16,4,5,4,4,1
31,Finance,4346,16,2,5,5,1,1
58,Sales,2439,10,1,2,4,2,0
30,Sales,2571,2,3,1,4,1,0
45,Marketing,3427,14,4,1,3,2,0
56,Marketing,2678,10,4,1,4,3,1
56,Sales,3761,15,3,5,2,4,0
57,Finance,2986,8,2,4,4,1,0
39,Sales,3902,0,1,2,4,3,0
53,Finance,5411,15,2,3,4,2,1
45,Marketing,3950,8,5,4,4,1,1
44,HR,3697,18,4,3,5,1,1
