age,education,experience,jobclass,region,salary
56,SomeCollege,9,Industrial,South,76496
46,SomeCollege,20,Information,West,60938
32,HS,19,Information,West,25206
60,Advanced,7,Information,East,57042
25,College,35,Industrial,East,27456
38,College,28,Information,East,25560
56,SomeCollege,11,Information,West,56801
36,SomeCollege,13,Industrial,East,61171
40,College,20,Information,East,56881
28,SomeCollege,21,Information,West,78193
28,<HS,20,Information,East,55531
41,SomeCollege,29,Industrial,West,52551
53,College,38,Information,West,31759
57,SomeCollege,19,Industrial,South,62864
41,<HS,23,Industrial,South,25228
20,College,22,Information,West,80305
39,HS,6,Information,West,63061
19,HS,8,Information,South,91846
41,HS,0,Industrial,East,55839
61,HS,25,Industrial,East,63802
47,College,37,Information,East,45842
55,SomeCollege,37,Industrial,West,49350
19,HS,21,Information,South,34226
38,College,9,Information,East,28284
50,College,5,Industrial,South,52842
29,College,16,Industrial,South,49262
39,HS,37,Information,West,33860
61,SomeCollege,23,Industrial,East,36519
42,Advanced,9,Industrial,South,50487
44,College,7,Industrial,West,33603
59,<HS,20,Industrial,West,55349
45,<HS,5,Industrial,West,34068
33,SomeCollege,20,Information,East,53837
32,Advanced,38,Industrial,East,32739
64,SomeCollege,23,Information,West,32802
61,SomeCollege,32,Industrial,East,14566
20,HS,17,Information,East,47595
54,College,27,Industrial,South,71810
24,College,31,Information,West,70959
38,HS,11,Information,West,54861
26,College,26,Information,East,19984
56,Advanced,9,Industrial,West,62658
35,HS,31,Industrial,West,53384
21,SomeCollege,25,Information,West,43902
42,HS,24,Industrial,East,68110
31,College,10,Industrial,East,59231
26,SomeCollege,22,Industrial,East,79423
43,SomeCollege,33,Information,South,28915
19,College,39,Industrial,West,30088
37,HS,22,Information,South,32615
45,Advanced,28,Industrial,East,45724
64,SomeCollege,30,Industrial,South,73822
24,HS,6,Industrial,West,40646
61,College,39,Industrial,West,40966
25,College,32,Information,East,56259
64,HS,20,Information,East,62647
52,College,1,Information,South,16448
31,Advanced,17,Information,East,65595
34,HS,32,Information,South,40171
53,Advanced,36,Industrial,West,48463
57,HS,33,Industrial,West,71273
21,HS,19,Information,West,46753
19,HS,34,Information,West,27021
23,College,17,Information,West,27891
59,College,23,Information,South,49563
21,HS,7,Information,West,44984
